Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis,4.9E-05,6.9E-05,0.031218,0,0,0,5.326433,0.052762,3.7E-05,-8E-06,0.010733,-5E-06,0.057077,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/pelvis.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/pelvis.STL,,pelvis-1,pelvis origin,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
torso,-0.015965,0,0.229198,0,0,0,21.311275,0.411035,0,0.004879,0.320901,-2E-06,0.157956,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/torso.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/torso.STL,,Main Body_detailed-1,ty_o,ty_x,ty,revolute,0,0,0.0825,0,0,0,pelvis,0,0,1,100,13,-0.87,0.87,,,,,,,,
lsp,0.002629,0.044079,0,0,0,0,0.45064,0.000741,-5.2E-05,0,0.000897,0,0.00118,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/lsp.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/lsp.STL,,shoulder roll-1,lsp_o,lsp_x,lsp,revolute,0,0.172,0.3695,0,0,0,torso,0,1,0,55,16,-3.14,1.05,,,,,,,,
lsr,0.001469,-7E-05,-0.079989,0,0,0,2.002576,0.020339,4E-06,-0.000225,0.020072,-4.8E-05,0.002315,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/lsr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/lsr.STL,,upper arm-1,lsr_o,lsr_x,lsr,revolute,0,0.072,0,0,0,0,lsp,1,0,0,55,16,-0.087,2.62,,,,,,,,
lsy,4.8E-05,0.00162,-0.045384,0,0,0,0.608514,0.000608,0,0,0.00049,2E-06,0.000483,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/lsy.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/lsy.STL,,elbow pitch-1,lsy_o,lsy_x,lsy,revolute,0,0,-0.2505,0,0,0,lsr,0,0,1,30,8.5,-1.57,1.57,,,,,,,,
lep,0.000176,-0.000163,-0.08691,0,0,0,0.83334,0.001632,1E-06,0,0.001305,2E-06,0.000822,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/lep.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/lep.STL,,wrist yaw-1,lep_o,lep_x,lep,revolute,0,0,-0.0545,0,0,0,lsy,0,1,0,30,8.5,-1.9,1.05,,,,,,,,
lwy,6.2E-05,0.005611,-0.039379,0,0,0,0.468609,0.00037,1E-06,0,0.000308,-9E-06,0.000298,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/lwy.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/lwy.STL,,wrist pitch-1,lwy_o,lwy_x,lwy,revolute,0,0,-0.134,0,0,0,lep,0,0,1,30,8.5,-1.57,1.57,,,,,,,,
lwp,0.005443,0.009592,-0.05625,0,0,0,0.528567,0.000598,3E-06,1.2E-05,0.00056,-0.000105,0.000443,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/lwp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/lwp.STL,,wrist roll-1,lwp_o,lwp_x,lwp,revolute,0,0,-0.045,0,0,0,lwy,0,1,0,30,8.5,-1.57,1.57,,,,,,,,
lwr,0.02469,0,-0.032424,0,0,0,0.173919,0.000149,0,-4.9E-05,0.000177,0,9.7E-05,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/lwr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/lwr.STL,,left hand connector-1,lwr_o,lwr_x,lwr,revolute,0,0,-0.0625,0,0,0,lwp,-1,0,0,30,8.5,-0.52,0.52,,,,,,,,
lhand,0.001615,0.00171,0.034691,0,0,0,1.3,0.009216,4E-05,0.000123,0.010051,-0.000238,0.001644,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/lhand.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/lhand.STL,,left hand-1,lh_o,lh_x,lh,fixed,0,0,-0.209,0,0,0,lwr,0,0,0,,,,,,,,,,,,
rsp,0.002629,-0.044079,0,0,0,0,0.45064,0.000741,5.2E-05,0,0.000897,0,0.00118,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/rsp.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/rsp.STL,,shoulder roll-2,rsp_o,rsp_x,rsp,revolute,0,-0.172,0.3695,0,0,0,torso,0,1,0,55,16,-3.14,1.05,,,,,,,,
rsr,0.001469,-7E-05,-0.079989,0,0,0,2.002576,0.020339,4E-06,-0.000225,0.020072,-4.8E-05,0.002315,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/rsr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/rsr.STL,,upper arm-2,rsr_o,rsr_x,rsr,revolute,0,-0.072,0,0,0,0,rsp,1,0,0,55,16,-2.62,0.087,,,,,,,,
rsy,-4.8E-05,-0.00162,-0.045384,0,0,0,0.608514,0.000608,0,0,0.00049,-2E-06,0.000483,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/rsy.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/rsy.STL,,elbow pitch-2,rsy_o,rsy_x,rsy,revolute,0,0,-0.2505,0,0,0,rsr,0,0,1,30,8.5,-1.57,1.57,,,,,,,,
rep,-0.000176,0.000163,-0.08691,0,0,0,0.833343,0.001632,1E-06,0,0.001305,-2E-06,0.000822,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/rep.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wholebody_7_dof_arm/meshes/rep.STL,,wrist yaw-2,rep_o,rep_x,rep,revolute,0,0,-0.0545,0,0,0,rsy,0,1,0,30,8.5,-1.9,1.05,,,,,,,,
